,Author,Book,Genre,Year,Searching_Value,Searching_Value2
1200,"Glenn Beck, Kevin Balfe, and others",Arguing with Idiots,nonfiction,2009,"Arguing with Idiots Glenn Beck, Kevin Balfe, and others","Arguing+with+Idiots+Glenn+Beck,+Kevin+Balfe,+and+others"
1201,Mitch Albom,Have a Little Faith,nonfiction,2009,Have a Little Faith Mitch Albom,Have+a+Little+Faith+Mitch+Albom
1202,Bill Simmons,The Book of Basketball,nonfiction,2009,The Book of Basketball Bill Simmons,The+Book+of+Basketball+Bill+Simmons
1203,Andre Agassi,Open,nonfiction,2009,Open Andre Agassi,Open+Andre+Agassi
1204,Sarah Palin,Going Rogue,nonfiction,2009,Going Rogue Sarah Palin,Going+Rogue+Sarah+Palin
1205,Elizabeth Gilbert,Committed,nonfiction,2010,Committed Elizabeth Gilbert,Committed+Elizabeth+Gilbert
1206,John Heilemann and Mark Halperin,Game Change,nonfiction,2010,Game Change John Heilemann and Mark Halperin,Game+Change+John+Heilemann+and+Mark+Halperin
1207,Mitt Romney,No Apology,nonfiction,2010,No Apology Mitt Romney,No+Apology+Mitt+Romney
1208,Chelsea Handler,Chelsea Chelsea Bang Bang,nonfiction,2010,Chelsea Chelsea Bang Bang Chelsea Handler,Chelsea+Chelsea+Bang+Bang+Chelsea+Handler
1209,Michael Lewis,The Big Short,nonfiction,2010,The Big Short Michael Lewis,The+Big+Short+Michael+Lewis
1210,Kitty Kelley,Oprah: A Biography,nonfiction,2010,Oprah: A Biography Kitty Kelley,Oprah:+A+Biography+Kitty+Kelley
1211,Laura Bush,Spoken from the Heart,nonfiction,2010,Spoken from the Heart Laura Bush,Spoken+from+the+Heart+Laura+Bush
1212,Justin Halpern,Shit My Dad Says,nonfiction,2010,Shit My Dad Says Justin Halpern,Shit+My+Dad+Says+Justin+Halpern
1213,Laura Ingraham,The Obama Diaries,nonfiction,2010,The Obama Diaries Laura Ingraham,The+Obama+Diaries+Laura+Ingraham
1214,David Limbaugh,Crimes Against Liberty,nonfiction,2010,Crimes Against Liberty David Limbaugh,Crimes+Against+Liberty+David+Limbaugh
1215,Stephen Hawking and Leonard Mlodinow,The Grand Design,nonfiction,2010,The Grand Design Stephen Hawking and Leonard Mlodinow,The+Grand+Design+Stephen+Hawking+and+Leonard+Mlodinow
1216,Jon Stewart and others,Earth (The Book),nonfiction,2010,Earth (The Book) Jon Stewart and others,Earth+(The+Book)+Jon+Stewart+and+others
1217,Bob Woodward,Obama's Wars,nonfiction,2010,Obama's Wars Bob Woodward,Obama's+Wars+Bob+Woodward
1218,Keith Richards with James Fox,Life,nonfiction,2010,Life Keith Richards with James Fox,Life+Keith+Richards+with+James+Fox
1219,George W. Bush,Decision Points,nonfiction,2010,Decision Points George W. Bush,Decision+Points+George+W.+Bush
1220,Laura Hillenbrand,Unbroken,nonfiction,2011,Unbroken Laura Hillenbrand,Unbroken+Laura+Hillenbrand
1221,Donald Rumsfeld,Known and Unknown,nonfiction,2011,Known and Unknown Donald Rumsfeld,Known+and+Unknown+Donald+Rumsfeld
1222,David Brooks,The Social Animal,nonfiction,2011,The Social Animal David Brooks,The+Social+Animal+David+Brooks
1223,Sammy Hagar with Joel Selvin,Red,nonfiction,2011,Red Sammy Hagar with Joel Selvin,Red+Sammy+Hagar+with+Joel+Selvin
1224,Howard Schultz with Joanne Gordon,Onward,nonfiction,2011,Onward Howard Schultz with Joanne Gordon,Onward+Howard+Schultz+with+Joanne+Gordon
1225,Tina Fey,Bossypants,nonfiction,2011,Bossypants Tina Fey,Bossypants+Tina+Fey
1226,Chelsea Handler,Lies That Chelsea Handler Told Me,nonfiction,2011,Lies That Chelsea Handler Told Me Chelsea Handler,Lies+That+Chelsea+Handler+Told+Me+Chelsea+Handler
1227,Erik Larson,In the Garden of Beasts,nonfiction,2011,In the Garden of Beasts Erik Larson,In+the+Garden+of+Beasts+Erik+Larson
1228,James Andrew Miller and Tom Shales,Those Guys Have All the Fun,nonfiction,2011,Those Guys Have All the Fun James Andrew Miller and Tom Shales,Those+Guys+Have+All+the+Fun+James+Andrew+Miller+and+Tom+Shales
1229,David McCullough,The Greater Journey,nonfiction,2011,The Greater Journey David McCullough,The+Greater+Journey+David+McCullough
1230,Jaycee Dugard,A Stolen Life,nonfiction,2011,A Stolen Life Jaycee Dugard,A+Stolen+Life+Jaycee+Dugard
1231,Dick Cheney,In My Time,nonfiction,2011,In My Time Dick Cheney,In+My+Time+Dick+Cheney
1232,Jacqueline Kennedy Onassis,Jacqueline Kennedy,nonfiction,2011,Jacqueline Kennedy Jacqueline Kennedy Onassis,Jacqueline+Kennedy+Jacqueline+Kennedy+Onassis
1233,Bill O'Reilly and Martin Dugard,Killing Lincoln,nonfiction,2011,Killing Lincoln Bill O'Reilly and Martin Dugard,Killing+Lincoln+Bill+O'Reilly+and+Martin+Dugard
1234,Walter Isaacson,Steve Jobs,nonfiction,2011,Steve Jobs Walter Isaacson,Steve+Jobs+Walter+Isaacson
1235,Chris Kyle with Scott McEwen and Jim DeFelice,American Sniper,nonfiction,2012,American Sniper Chris Kyle with Scott McEwen and Jim DeFelice,American+Sniper+Chris+Kyle+with+Scott+McEwen+and+Jim+DeFelice
1236,Mark Levin,Ameritopia,nonfiction,2012,Ameritopia Mark Levin,Ameritopia+Mark+Levin
1237,Jonah Lehrer,Imagine,nonfiction,2012,Imagine Jonah Lehrer,Imagine+Jonah+Lehrer
1238,Rachel Maddow,Drift,nonfiction,2012,Drift Rachel Maddow,Drift+Rachel+Maddow
1239,Robert Caro,The Passage of Power,nonfiction,2012,The Passage of Power Robert Caro,The+Passage+of+Power+Robert+Caro
1240,Edward Klein,Amateur,nonfiction,2012,Amateur Edward Klein,Amateur+Edward+Klein
1241,Cheryl Strayed,Wild,nonfiction,2012,Wild Cheryl Strayed,Wild+Cheryl+Strayed
1242,Joe Posnanski,Paterno,nonfiction,2012,Paterno Joe Posnanski,Paterno+Joe+Posnanski
1243,Dinesh D'Souza,Obama's America,nonfiction,2012,Obama's America Dinesh D'Souza,Obama's+America+Dinesh+D'Souza
1244,Mark Owen with Kevin Maurer,No Easy Day,nonfiction,2012,No Easy Day Mark Owen with Kevin Maurer,No+Easy+Day+Mark+Owen+with+Kevin+Maurer
1245,Bill O'Reilly and Martin Dugard,Killing Kennedy,nonfiction,2012,Killing Kennedy Bill O'Reilly and Martin Dugard,Killing+Kennedy+Bill+O'Reilly+and+Martin+Dugard
1246,Jon Meacham,Thomas Jefferson,nonfiction,2012,Thomas Jefferson Jon Meacham,Thomas+Jefferson+Jon+Meacham
1247,Sonia Sotomayor,My Beloved World,nonfiction,2013,My Beloved World Sonia Sotomayor,My+Beloved+World+Sonia+Sotomayor
1248,Michael Moss,Salt Sugar Fat,nonfiction,2013,Salt Sugar Fat Michael Moss,Salt+Sugar+Fat+Michael+Moss
1249,Pat Summitt with Sally Jenkins,Sum It Up,nonfiction,2013,Sum It Up Pat Summitt with Sally Jenkins,Sum+It+Up+Pat+Summitt+with+Sally+Jenkins
1250,Sheryl Sandberg with Nell Scovell,Lean In,nonfiction,2013,Lean In Sheryl Sandberg with Nell Scovell,Lean+In+Sheryl+Sandberg+with+Nell+Scovell
1251,David Sedaris,Let's Explore Diabetes With Owls,nonfiction,2013,Let's Explore Diabetes With Owls David Sedaris,Let's+Explore+Diabetes+With+Owls+David+Sedaris
1252,Phil Robertson with Mark Schlabach,"Happy, Happy, Happy",nonfiction,2013,"Happy, Happy, Happy Phil Robertson with Mark Schlabach","Happy,+Happy,+Happy+Phil+Robertson+with+Mark+Schlabach"
1253,Rick Atkinson,The Guns at Last Light,nonfiction,2013,The Guns at Last Light Rick Atkinson,The+Guns+at+Last+Light+Rick+Atkinson
1254,Phil Jackson and Hugh Delehanty,Eleven Rings,nonfiction,2013,Eleven Rings Phil Jackson and Hugh Delehanty,Eleven+Rings+Phil+Jackson+and+Hugh+Delehanty
1255,Reza Aslan,Zealot,nonfiction,2013,Zealot Reza Aslan,Zealot+Reza+Aslan
1256,Mark R. Levin,The Liberty Amendments,nonfiction,2013,The Liberty Amendments Mark R. Levin,The+Liberty+Amendments+Mark+R.+Levin
1257,Si Robertson with Mark Schlabach,Si-cology 1,nonfiction,2013,Si-cology 1 Si Robertson with Mark Schlabach,Si-cology+1+Si+Robertson+with+Mark+Schlabach
1258,Bill O'Reilly and Martin Dugard,Killing Jesus,nonfiction,2013,Killing Jesus Bill O'Reilly and Martin Dugard,Killing+Jesus+Bill+O'Reilly+and+Martin+Dugard
1259,Brandon Stanton,Humans of New York,nonfiction,2013,Humans of New York Brandon Stanton,Humans+of+New+York+Brandon+Stanton
1260,Robert M. Gates,Duty,nonfiction,2014,Duty Robert M. Gates,Duty+Robert+M.+Gates
1261,Malcolm Gladwell,David and Goliath,nonfiction,2014,David and Goliath Malcolm Gladwell,David+and+Goliath+Malcolm+Gladwell
1262,Michio Kaku,The Future of the Mind,nonfiction,2014,The Future of the Mind Michio Kaku,The+Future+of+the+Mind+Michio+Kaku
1263,Chelsea Handler,Uganda Be Kidding Me,nonfiction,2014,Uganda Be Kidding Me Chelsea Handler,Uganda+Be+Kidding+Me+Chelsea+Handler
1264,Dan Harris,10% Happier,nonfiction,2014,10% Happier Dan Harris,10%+Happier+Dan+Harris
1265,Arianna Huffington,Thrive,nonfiction,2014,Thrive Arianna Huffington,Thrive+Arianna+Huffington
1266,Michael Lewis,Flash Boys,nonfiction,2014,Flash Boys Michael Lewis,Flash+Boys+Michael+Lewis
1267,Thomas Piketty,Capital in the Twenty-First Century,nonfiction,2014,Capital in the Twenty-First Century Thomas Piketty,Capital+in+the+Twenty-First+Century+Thomas+Piketty
1268,Hillary Rodham Clinton,Hard Choices,nonfiction,2014,Hard Choices Hillary Rodham Clinton,Hard+Choices+Hillary+Rodham+Clinton
1269,Edward Klein,Blood Feud,nonfiction,2014,Blood Feud Edward Klein,Blood+Feud+Edward+Klein
1270,Dinesh D'Souza,America,nonfiction,2014,America Dinesh D'Souza,America+Dinesh+D'Souza
1271,Randall Munroe,What If,nonfiction,2014,What If Randall Munroe,What+If+Randall+Munroe
1272,Mitchell Zuckoff,13 Hours,nonfiction,2014,13 Hours Mitchell Zuckoff,13+Hours+Mitchell+Zuckoff
1273,Bill O'Reilly and Martin Dugard,Killing Patton,nonfiction,2014,Killing Patton Bill O'Reilly and Martin Dugard,Killing+Patton+Bill+O'Reilly+and+Martin+Dugard
1274,Amy Poehler,Yes Please,nonfiction,2014,Yes Please Amy Poehler,Yes+Please+Amy+Poehler
1275,George W. Bush,41,nonfiction,2014,41 George W. Bush,41+George+W.+Bush
1276,Erik Larson,Dead Wake,nonfiction,2015,Dead Wake Erik Larson,Dead+Wake+Erik+Larson
1277,Brent Schlender and Rick Tetzeli,Becoming Steve Jobs,nonfiction,2015,Becoming Steve Jobs Brent Schlender and Rick Tetzeli,Becoming+Steve+Jobs+Brent+Schlender+and+Rick+Tetzeli
1278,Kate Andersen Brower,The Residence,nonfiction,2015,The Residence Kate Andersen Brower,The+Residence+Kate+Andersen+Brower
1279,David Brooks,The Road to Character,nonfiction,2015,The Road to Character David Brooks,The+Road+to+Character+David+Brooks
1280,Dana Perino,And the Good News Is...,nonfiction,2015,And the Good News Is... Dana Perino,And+the+Good+News+Is...+Dana+Perino
1281,Amanda Berry and Gina DeJesus,Hope,nonfiction,2015,Hope Amanda Berry and Gina DeJesus,Hope+Amanda+Berry+and+Gina+DeJesus
1282,David McCullough,The Wright Brothers,nonfiction,2015,The Wright Brothers David McCullough,The+Wright+Brothers+David+McCullough
1283,Holly Madison,Down the Rabbit Hole,nonfiction,2015,Down the Rabbit Hole Holly Madison,Down+the+Rabbit+Hole+Holly+Madison
1284,Ta-Nehisi Coates,Between the World and Me,nonfiction,2015,Between the World and Me Ta-Nehisi Coates,Between+the+World+and+Me+Ta-Nehisi+Coates
1285,Mark Levin,Plunder and Deceit,nonfiction,2015,Plunder and Deceit Mark Levin,Plunder+and+Deceit+Mark+Levin
1286,Glenn Beck,It Is About Islam,nonfiction,2015,It Is About Islam Glenn Beck,It+Is+About+Islam+Glenn+Beck
1287,Bill Bryson,A Walk in the Woods,nonfiction,2015,A Walk in the Woods Bill Bryson,A+Walk+in+the+Woods+Bill+Bryson
1288,Mindy Kaling,Why Not Me?,nonfiction,2015,Why Not Me? Mindy Kaling,Why+Not+Me?+Mindy+Kaling
1289,Bill O'Reilly and Martin Dugard,Killing Reagan,nonfiction,2015,Killing Reagan Bill O'Reilly and Martin Dugard,Killing+Reagan+Bill+O'Reilly+and+Martin+Dugard
1290,Brandon Stanton,Humans of New York: Stories,nonfiction,2015,Humans of New York: Stories Brandon Stanton,Humans+of+New+York:+Stories+Brandon+Stanton
1291,Leah Remini and Rebecca Paley,Troublemaker,nonfiction,2015,Troublemaker Leah Remini and Rebecca Paley,Troublemaker+Leah+Remini+and+Rebecca+Paley
1292,Alan Cumming,Not My Father's Son: A Memoir,nonfiction,2016,Not My Father's Son: A Memoir Alan Cumming,Not+My+Father's+Son:+A+Memoir+Alan+Cumming
1293,Paul Kalanithi,When Breath Becomes Air,nonfiction,2016,When Breath Becomes Air Paul Kalanithi,When+Breath+Becomes+Air+Paul+Kalanithi
1294,Anderson Cooper and Gloria Vanderbilt,The Rainbow Comes and Goes,nonfiction,2016,The Rainbow Comes and Goes Anderson Cooper and Gloria Vanderbilt,The+Rainbow+Comes+and+Goes+Anderson+Cooper+and+Gloria+Vanderbilt
1295,Lin-Manuel Miranda and Jeremy McCarter,Hamilton: The Revolution,nonfiction,2016,Hamilton: The Revolution Lin-Manuel Miranda and Jeremy McCarter,Hamilton:+The+Revolution+Lin-Manuel+Miranda+and+Jeremy+McCarter
1296,Siddhartha Mukherjee,The Gene: An Intimate History,nonfiction,2016,The Gene: An Intimate History Siddhartha Mukherjee,The+Gene:+An+Intimate+History+Siddhartha+Mukherjee
1297,David Fisher,Bill O'Relly's Legends and Lies: The Patriots,nonfiction,2016,Bill O'Relly's Legends and Lies: The Patriots David Fisher,Bill+O'Relly's+Legends+and+Lies:+The+Patriots+David+Fisher
1298,Ron Chernow,Alexander Hamilton,nonfiction,2016,Alexander Hamilton Ron Chernow,Alexander+Hamilton+Ron+Chernow
1299,Gary J. Byrne with Grant M. Schmidt,Crisis of Character,nonfiction,2016,Crisis of Character Gary J. Byrne with Grant M. Schmidt,Crisis+of+Character+Gary+J.+Byrne+with+Grant+M.+Schmidt
1300,Shane Dawson,It Gets Worse: A Collection of Essays,nonfiction,2016,It Gets Worse: A Collection of Essays Shane Dawson,It+Gets+Worse:+A+Collection+of+Essays+Shane+Dawson
1301,Dinesh D'Souza,Hillary's America,nonfiction,2016,Hillary's America Dinesh D'Souza,Hillary's+America+Dinesh+D'Souza
1302,J. D. Vance,Hillbilly Elegy,nonfiction,2016,Hillbilly Elegy J. D. Vance,Hillbilly+Elegy+J.+D.+Vance
1303,Amy Schumer,The Girl with the Lower Back Tattoo,nonfiction,2016,The Girl with the Lower Back Tattoo Amy Schumer,The+Girl+with+the+Lower+Back+Tattoo+Amy+Schumer
1304,Glennon Doyle Melton,Love Warrior,nonfiction,2016,Love Warrior Glennon Doyle Melton,Love+Warrior+Glennon+Doyle+Melton
1305,Bill O'Reilly and Martin Dugard,Killing the Rising Sun,nonfiction,2016,Killing the Rising Sun Bill O'Reilly and Martin Dugard,Killing+the+Rising+Sun+Bill+O'Reilly+and+Martin+Dugard
1306,Bruce Springsteen,Born to Run,nonfiction,2016,Born to Run Bruce Springsteen,Born+to+Run+Bruce+Springsteen
1307,Chip Gaines and Joanna Gaines with Mark Dagostino,The Magnolia Story,nonfiction,2016,The Magnolia Story Chip Gaines and Joanna Gaines with Mark Dagostino,The+Magnolia+Story+Chip+Gaines+and+Joanna+Gaines+with+Mark+Dagostino
1308,Megyn Kelly,Settle for More,nonfiction,2016,Settle for More Megyn Kelly,Settle+for+More+Megyn+Kelly
1309,Carrie Fisher,The Princess Diarist,nonfiction,2017,The Princess Diarist Carrie Fisher,The+Princess+Diarist+Carrie+Fisher
1310,Margot Lee Shetterly,Hidden Figures,nonfiction,2017,Hidden Figures Margot Lee Shetterly,Hidden+Figures+Margot+Lee+Shetterly
1311,George W. Bush,Portraits of Courage,nonfiction,2017,Portraits of Courage George W. Bush,Portraits+of+Courage+George+W.+Bush
1312,Diane Ackerman,The Zookeeper's Wife,nonfiction,2017,The Zookeeper's Wife Diane Ackerman,The+Zookeeper's+Wife+Diane+Ackerman
1313,Bill O'Reilly and Bruce Feirstein,Old School: Life in the Sane Lane,nonfiction,2017,Old School: Life in the Sane Lane Bill O'Reilly and Bruce Feirstein,Old+School:+Life+in+the+Sane+Lane+Bill+O'Reilly+and+Bruce+Feirstein
1314,Jonathan Allen and Amie Parnes,Shattered,nonfiction,2017,Shattered Jonathan Allen and Amie Parnes,Shattered+Jonathan+Allen+and+Amie+Parnes
1315,Sheryl Sandberg and Adam Grant,Option B,nonfiction,2017,Option B Sheryl Sandberg and Adam Grant,Option+B+Sheryl+Sandberg+and+Adam+Grant
1316,Neil deGrasse Tyson,Astrophysics for People in a Hurry,nonfiction,2017,Astrophysics for People in a Hurry Neil deGrasse Tyson,Astrophysics+for+People+in+a+Hurry+Neil+deGrasse+Tyson
1317,Al Franken,"Al Franken, Giant of the Senate",nonfiction,2017,"Al Franken, Giant of the Senate Al Franken","Al+Franken,+Giant+of+the+Senate+Al+Franken"
1318,Kevin Hart and Neil Strauss,I Can't Make This Up,nonfiction,2017,I Can't Make This Up Kevin Hart and Neil Strauss,I+Can't+Make+This+Up+Kevin+Hart+and+Neil+Strauss
1319,Newt Gingrich,Understanding Trump,nonfiction,2017,Understanding Trump Newt Gingrich,Understanding+Trump+Newt+Gingrich
1320,Mark Levin,Rediscovering Americanism,nonfiction,2017,Rediscovering Americanism Mark Levin,Rediscovering+Americanism+Mark+Levin
1321,Joshua Green,Devil's Bargain,nonfiction,2017,Devil's Bargain Joshua Green,Devil's+Bargain+Joshua+Green
1322,Jeannette Walls,The Glass Castle,nonfiction,2017,The Glass Castle Jeannette Walls,The+Glass+Castle+Jeannette+Walls
1323,Bill O'Reilly and Martin Dugard,Killing England,nonfiction,2017,Killing England Bill O'Reilly and Martin Dugard,Killing+England+Bill+O'Reilly+and+Martin+Dugard
1324,Ron Chernow,Grant,nonfiction,2017,Grant Ron Chernow,Grant+Ron+Chernow
1325,Walter Isaacson,Leonardo Da Vinci,nonfiction,2017,Leonardo Da Vinci Walter Isaacson,Leonardo+Da+Vinci+Walter+Isaacson
1326,Jenna Bush Hager and Barbara Pierce Bush,Sisters First,nonfiction,2017,Sisters First Jenna Bush Hager and Barbara Pierce Bush,Sisters+First+Jenna+Bush+Hager+and+Barbara+Pierce+Bush
1327,Pete Souza,Obama: An Intimate Portrait,nonfiction,2017,Obama: An Intimate Portrait Pete Souza,Obama:+An+Intimate+Portrait+Pete+Souza
1328,Joe Biden,"Promise Me, Dad",nonfiction,2017,"Promise Me, Dad Joe Biden","Promise+Me,+Dad+Joe+Biden"
1329,Michael Wolff,Fire and Fury,nonfiction,2018,Fire and Fury Michael Wolff,Fire+and+Fury+Michael+Wolff
1330,Tara Westover,Educated,nonfiction,2018,Educated Tara Westover,Educated+Tara+Westover
1331,Michelle McNamara,I'll Be Gone in the Dark,nonfiction,2018,I'll Be Gone in the Dark Michelle McNamara,I'll+Be+Gone+in+the+Dark+Michelle+McNamara
1332,Michael Isikoff and David Corn,Russian Roulette,nonfiction,2018,Russian Roulette Michael Isikoff and David Corn,Russian+Roulette+Michael+Isikoff+and+David+Corn
1333,Peter Schweizer,Secret Empires,nonfiction,2018,Secret Empires Peter Schweizer,Secret+Empires+Peter+Schweizer
1334,Chrissy Metz,This Is Me,nonfiction,2018,This Is Me Chrissy Metz,This+Is+Me+Chrissy+Metz
1335,David Grann,Killers of the Flower Moon,nonfiction,2018,Killers of the Flower Moon David Grann,Killers+of+the+Flower+Moon+David+Grann
1336,Madeleine Albright and Bill Woodward,Fascism: A Warning,nonfiction,2018,Fascism: A Warning Madeleine Albright and Bill Woodward,Fascism:+A+Warning+Madeleine+Albright+and+Bill+Woodward
1337,James Comey,A Higher Loyalty,nonfiction,2018,A Higher Loyalty James Comey,A+Higher+Loyalty+James+Comey
1338,Jon Meacham,The Soul of America,nonfiction,2018,The Soul of America Jon Meacham,The+Soul+of+America+Jon+Meacham
1339,Michael Pollan,How to Change Your Mind,nonfiction,2018,How to Change Your Mind Michael Pollan,How+to+Change+Your+Mind+Michael+Pollan
1340,John McCain and Mark Salter,The Restless Wave,nonfiction,2018,The Restless Wave John McCain and Mark Salter,The+Restless+Wave+John+McCain+and+Mark+Salter
1341,David Sedaris,Calypso,nonfiction,2018,Calypso David Sedaris,Calypso+David+Sedaris
1342,Anthony Bourdain,Kitchen Confidential,nonfiction,2018,Kitchen Confidential Anthony Bourdain,Kitchen+Confidential+Anthony+Bourdain
1343,Jeanine Pirro,"Liars, Leakers and Liberals",nonfiction,2018,"Liars, Leakers and Liberals Jeanine Pirro","Liars,+Leakers+and+Liberals+Jeanine+Pirro"
1344,Gregg Jarrett,The Russia Hoax,nonfiction,2018,The Russia Hoax Gregg Jarrett,The+Russia+Hoax+Gregg+Jarrett
1345,Rick Wilson,Everything Trump Touches Dies,nonfiction,2018,Everything Trump Touches Dies Rick Wilson,Everything+Trump+Touches+Dies+Rick+Wilson
1346,Omarosa Manigault Newman,Unhinged,nonfiction,2018,Unhinged Omarosa Manigault Newman,Unhinged+Omarosa+Manigault+Newman
1347,Yuval Noah Harari,Sapiens,nonfiction,2018,Sapiens Yuval Noah Harari,Sapiens+Yuval+Noah+Harari
1348,Bob Woodward,Fear: Trump in the White House,nonfiction,2018,Fear: Trump in the White House Bob Woodward,Fear:+Trump+in+the+White+House+Bob+Woodward
1349,Bill O'Reilly and Martin Dugard,Killing the SS,nonfiction,2018,Killing the SS Bill O'Reilly and Martin Dugard,Killing+the+SS+Bill+O'Reilly+and+Martin+Dugard
1350,Michael Diamond and Adam Horovitz,Beastie Boys Book,nonfiction,2018,Beastie Boys Book Michael Diamond and Adam Horovitz,Beastie+Boys+Book+Michael+Diamond+and+Adam+Horovitz
1351,Michelle Obama,Becoming,nonfiction,2018,Becoming Michelle Obama,Becoming+Michelle+Obama
1352,Andrew McCabe,The Threat,nonfiction,2019,The Threat Andrew McCabe,The+Threat+Andrew+McCabe
1353,Ben Shapiro,The Right Side of History,nonfiction,2019,The Right Side of History Ben Shapiro,The+Right+Side+of+History+Ben+Shapiro
1354,Chelsea Handler,Life Will Be the Death of Me,nonfiction,2019,Life Will Be the Death of Me Chelsea Handler,Life+Will+Be+the+Death+of+Me+Chelsea+Handler
1355,The Washington Post,The Mueller Report,nonfiction,2019,The Mueller Report The Washington Post,The+Mueller+Report+The+Washington+Post
1356,David McCullough,The Pioneers,nonfiction,2019,The Pioneers David McCullough,The+Pioneers+David+McCullough
1357,Howard Stern,Howard Stern Comes Again,nonfiction,2019,Howard Stern Comes Again Howard Stern,Howard+Stern+Comes+Again+Howard+Stern
1358,Mark Levin,Unfreedom of the Press,nonfiction,2019,Unfreedom of the Press Mark Levin,Unfreedom+of+the+Press+Mark+Levin
1359,Lisa Taddeo,Three Women,nonfiction,2019,Three Women Lisa Taddeo,Three+Women+Lisa+Taddeo
1360,Jim Mattis and Bing West,Call Sign Chaos,nonfiction,2019,Call Sign Chaos Jim Mattis and Bing West,Call+Sign+Chaos+Jim+Mattis+and+Bing+West
1361,Malcolm Gladwell,Talking to Strangers,nonfiction,2019,Talking to Strangers Malcolm Gladwell,Talking+to+Strangers+Malcolm+Gladwell
1362,Demi Moore,Inside Out,nonfiction,2019,Inside Out Demi Moore,Inside+Out+Demi+Moore
1363,Rachel Maddow,Blowout,nonfiction,2019,Blowout Rachel Maddow,Blowout+Rachel+Maddow
1364,Elton John,Me,nonfiction,2019,Me Elton John,Me+Elton+John
1365,Prince,The Beautiful Ones,nonfiction,2019,The Beautiful Ones Prince,The+Beautiful+Ones+Prince
1366,Donald Trump Jr.,Triggered,nonfiction,2019,Triggered Donald Trump Jr.,Triggered+Donald+Trump+Jr.
1367,Anonymous,A Warning,nonfiction,2019,A Warning Anonymous,A+Warning+Anonymous
1368,Glenn Simpson and Peter Fritsch,Crime in Progress,nonfiction,2019,Crime in Progress Glenn Simpson and Peter Fritsch,Crime+in+Progress+Glenn+Simpson+and+Peter+Fritsch
1369,Bryan Stevenson,Just Mercy,nonfiction,2020,Just Mercy Bryan Stevenson,Just+Mercy+Bryan+Stevenson
1370,Philip Rucker and Carol Leonnig,A Very Stable Genius,nonfiction,2020,A Very Stable Genius Philip Rucker and Carol Leonnig,A+Very+Stable+Genius+Philip+Rucker+and+Carol+Leonnig
1371,Peter Schweizer,Profiles in Corruption,nonfiction,2020,Profiles in Corruption Peter Schweizer,Profiles+in+Corruption+Peter+Schweizer
1372,Jessica Simpson with Kevin Carr O'Leary,Open Book,nonfiction,2020,Open Book Jessica Simpson with Kevin Carr O'Leary,Open+Book+Jessica+Simpson+with+Kevin+Carr+O'Leary
1373,Kobe Bryant,The Mamba Mentality,nonfiction,2020,The Mamba Mentality Kobe Bryant,The+Mamba+Mentality+Kobe+Bryant
1374,Erik Larson,The Splendid and the Vile,nonfiction,2020,The Splendid and the Vile Erik Larson,The+Splendid+and+the+Vile+Erik+Larson
1375,Glennon Doyle,Untamed,nonfiction,2020,Untamed Glennon Doyle,Untamed+Glennon+Doyle
1376,Robert Kolker,Hidden Valley Road,nonfiction,2020,Hidden Valley Road Robert Kolker,Hidden+Valley+Road+Robert+Kolker
1377,Robin DiAngelo,White Fragility,nonfiction,2020,White Fragility Robin DiAngelo,White+Fragility+Robin+DiAngelo
1378,Ibram X. Kendi,How to Be an Antiracist,nonfiction,2020,How to Be an Antiracist Ibram X. Kendi,How+to+Be+an+Antiracist+Ibram+X.+Kendi
1379,John Bolton,The Room Where It Happened,nonfiction,2020,The Room Where It Happened John Bolton,The+Room+Where+It+Happened+John+Bolton
1380,Mary L. Trump,Too Much and Never Enough,nonfiction,2020,Too Much and Never Enough Mary L. Trump,Too+Much+and+Never+Enough+Mary+L.+Trump
1381,Sean Hannity,Live Free or Die,nonfiction,2020,Live Free or Die Sean Hannity,Live+Free+or+Die+Sean+Hannity
1382,Jon Meacham,His Truth Is Marching On,nonfiction,2020,His Truth Is Marching On Jon Meacham,His+Truth+Is+Marching+On+Jon+Meacham
1383,Stephanie Winston Wolkoff,Melania and Me,nonfiction,2020,Melania and Me Stephanie Winston Wolkoff,Melania+and+Me+Stephanie+Winston+Wolkoff
1384,Michael Cohen,Disloyal,nonfiction,2020,Disloyal Michael Cohen,Disloyal+Michael+Cohen
1385,Bob Woodward,Rage,nonfiction,2020,Rage Bob Woodward,Rage+Bob+Woodward
1386,Mariah Carey with Michaela Angela Davis,The Meaning of Mariah Carey,nonfiction,2020,The Meaning of Mariah Carey Mariah Carey with Michaela Angela Davis,The+Meaning+of+Mariah+Carey+Mariah+Carey+with+Michaela+Angela+Davis
1387,Brandon Stanton,Humans,nonfiction,2020,Humans Brandon Stanton,Humans+Brandon+Stanton
1388,Isabel Wilkerson,Caste,nonfiction,2020,Caste Isabel Wilkerson,Caste+Isabel+Wilkerson
1389,Matthew McConaughey,Greenlights,nonfiction,2020,Greenlights Matthew McConaughey,Greenlights+Matthew+McConaughey
1390,Sam Heughan and Graham McTavish,Clanlands,nonfiction,2020,Clanlands Sam Heughan and Graham McTavish,Clanlands+Sam+Heughan+and+Graham+McTavish
1391,Barack Obama,A Promised Land,nonfiction,2020,A Promised Land Barack Obama,A+Promised+Land+Barack+Obama
1392,Adam Grant,Think Again,nonfiction,2021,Think Again Adam Grant,Think+Again+Adam+Grant
